ID,Breed,Age ,Sex,Neuter,Case,Date of diagnosis,Reason for presentation,BCS at diagnosis (1-9),Last recorded BCS (1-9),Heart Murmur,HM first recorded,Grade of heart murmur,Gallop rhythm,Date first detected,Arrhythmia,Date first detected,Goitre,Vaccination,Previous exposure to nephrotoxic drugs,NSAID treatment,Date of last exposure to drug,Previous anaesthetic,Date of last anaesthetic,FeLV status,FIV status,Previous exposure to lilies,Previous exposure to ethylene glycol,Previous AKI,Hyperthyroidism,Periodontal disease,Arthritis,Cystitis/FLUTD,Cardiomyopathy,Retinopathy,Cat bite abscess,Polycystic kidney disease,Pyelonephritis,hepatopathy,obesity,constipation,Diabetes Mellitus,Primary Aldosteronism,Urethral obstruction
11,Crossbreed,?9,Male,Neutered,Case,4/11/12,Other,,,TRUE,2/19/10,2,TRUE,3/15/12,FALSE,,TRUE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Crossbreed,?9,Female,Neutered,Case,3/16/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,12/5/11,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Crossbreed,?9,Female,Neutered,Case,9/5/12,Geriatric Health clinic,,,FALSE,,,TRUE,9/3/12,FALSE,,FALSE,Kitten/ Irregular,NSAID,One-off treatment,9/3/12,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Crossbreed,?9,Female,,Case,6/21/12,Other,,,TRUE,11/14/11,3,FALSE,,FALSE,,FALSE,None recorded,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Purebreed,?9,Male,Neutered,Case,9/13/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,None recorded,NSAID,One-off treatment,8/4/11,Yes,8/4/11,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Crossbreed,?9,Female,Neutered,Case,5/16/12,Other,,,TRUE,10/4/10,2,TRUE,10/6/10,TRUE,2/21/12,FALSE,None recorded,None recorded,,,Yes,10/4/10,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Crossbreed,<9,Male,,Case,1/18/12,Clinical signs,2,,TRUE,1/18/12,3,FALSE,,FALSE,,FALSE,None recorded,None recorded,,,No,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Purebreed,?9,Male,,Case,2/28/12,Pre-anaesthetic profile,,,FALSE,,,FALSE,,FALSE,,FALSE,None recorded,NSAID,One-off treatment,3/3/10,Yes,3/3/10,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
19,Crossbreed,?9,Male,,Case,5/17/12,Clinical signs,,,TRUE,8/12/13,5,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,8/11/10,Yes,8/11/10,Not tested,Negative,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Crossbreed,?9,Male,Neutered,Case,3/5/13,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,NSAID,One-off treatment,11/22/11,Yes,3/5/13,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Crossbreed,?9,Female,,Case,5/9/12,Clinical signs,,,TRUE,10/12/13,3,TRUE,4/26/13,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Crossbreed,?9,Female,,Case,3/28/12,Clinical signs,,,Not recorded,,,Not recorded,,TRUE,3/26/12,TRUE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Purebreed,?9,Male,Neutered,Case,1/10/12,Other,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Regular,NSAID,One-off treatment,3/6/11,None recorded,,Not tested,Not tested,None recorded,None recorded,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,Purebreed,?9,Male,,Case,7/17/12,Not recorded,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,3/12/12,Yes,3/9/12,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Purebreed,<9,Female,Neutered,Case,8/5/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Purebreed,?9,Female,Neutered,Case,2/22/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,2/12/13,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,Crossbreed,?9,Female,Neutered,Case,7/22/13,Clinical signs,,,FALSE,,,TRUE,7/25/13,FALSE,,FALSE,Regular,NSAID,Long term treatment,2/15/13,Yes,2/15/13,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,Crossbreed,?9,Female,Neutered,Case,11/1/12,Clinical signs,,,TRUE,2/21/13,1,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,12/3/11,Yes,9/23/11,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Crossbreed,?9,Female,,Case,1/25/12,Clinical signs,,,TRUE,1/24/12,2,Not recorded,,Not recorded,,Not recorded,Kitten/ Irregular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,Crossbreed,<9,Male,Neutered,Case,9/1/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
31,Crossbreed,?9,Male,,Case,10/21/13,Clinical signs,,,Not recorded,,,FALSE,,FALSE,,Not recorded,Regular,NSAID,One-off treatment,2/15/13,Yes,2/15/13,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Crossbreed,?9,Female,,Case,1/21/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,NSAID,Long term treatment,7/6/11,Yes,5/20/11,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
33,Crossbreed,?9,Male,Neutered,Case,2/8/13,Other,6,,TRUE,10/7/14,,FALSE,,FALSE,,Not recorded,Regular,NSAID,One-off treatment,10/29/10,Yes,10/29/10,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,Crossbreed,?9,Male,,Case,10/8/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,8/20/10,Yes,8/24/10,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,Crossbreed,?9,Female,Neutered,Case,4/5/12,Other,,,FALSE,,,FALSE,,FALSE,,TRUE,Regular,NSAID,One-off treatment,3/15/12,Yes,9/10/10,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,Purebreed,?9,Female,,Case,8/27/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,Crossbreed,?9,Male,Neutered,Case,10/9/13,Clinical signs,,,TRUE,4/20/10,1,Not recorded,,Not recorded,,TRUE,None recorded,None recorded,,,Yes,5/7/10,Not tested,Not tested,None recorded,None recorded,Yes,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
38,Crossbreed,?9,Female,,Case,4/6/13,Other,,,FALSE,,,FALSE,,FALSE,,Not recorded,None recorded,NSAID,One-off treatment,11/7/10,Yes,11/7/10,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
39,Crossbreed,?9,Male,,Case,6/1/13,Other,,,FALSE,,,FALSE,,FALSE,,TRUE,Regular,NSAID,Repeated one off treatment,11/14/11,Yes,3/21/13,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,Crossbreed,?9,Female,,Case,3/20/13,Other,,,TRUE,9/11/13,1,FALSE,,FALSE,,Not recorded,Regular,NSAID,One-off treatment,5/20/10,Yes,12/6/12,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
41,Crossbreed,?9,Male,Neutered,Case,1/7/13,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,Not recorded,Kitten/ Irregular,NSAID,One-off treatment,10/3/12,Yes,10/3/12,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,Crossbreed,<9,Female,Neutered,Case,1/17/12,Clinical signs,,,TRUE,1/14/14,5,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,No,No,No,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43,Crossbreed,?9,Female,,Case,8/8/13,Other,,,TRUE,10/2/12,2,FALSE,,FALSE,,FALSE,Regular,NSAID,Long term treatment,10/17/13,Yes,10/25/12,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,Crossbreed,?9,Male,,Case,2/15/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,Not recorded,None recorded,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,Purebreed,?9,Female,Neutered,Case,2/14/12,Clinical signs,,,TRUE,2/5/12,,Not recorded,,Not recorded,,Not recorded,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,Purebreed,?9,Male,,Case,3/28/13,Clinical signs,2,,FALSE,,,FALSE,,TRUE,4/4/13,FALSE,Kitten/ Irregular,NSAID,One-off treatment,11/3/10,Yes,11/7/10,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,Purebreed,?9,Female,Entire,Case,2/18/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,None recorded,NSAID,Repeated one off treatment,7/1/10,None recorded,,Negative,Negative,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Crossbreed,?9,Female,Neutered,Case,7/16/12,Other,,,TRUE,12/6/10,1,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,2/18/10,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,Crossbreed,?9,Male,,Case,9/23/13,Pre-anaesthetic profile,,,FALSE,,,FALSE,,FALSE,,TRUE,Regular,None recorded,,,Yes,9/23/13,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Crossbreed,?9,Male,Neutered,Case,4/25/12,Clinical signs,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Kitten/ Irregular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
51,Crossbreed,?9,Male,,Case,8/16/13,Other,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,None recorded,Chemotherapy,,10/17/13,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
52,Crossbreed,?9,Male,,Case,8/9/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,TRUE,None recorded,NSAID,Repeated one off treatment,9/13/11,Yes,9/13/11,Not tested,Not tested,None recorded,None recorded,Yes,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
53,Crossbreed,?9,Female,,Case,5/29/13,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,FALSE,None recorded,NSAID,One-off treatment,12/3/11,Yes,11/30/11,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,Crossbreed,?9,Female,Neutered,Case,4/13/12,Clinical signs,,,TRUE,4/16/12,3,FALSE,,FALSE,,Not recorded,Kitten/ Irregular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,Purebreed,?9,Female,Neutered,Case,10/11/12,Pre-anaesthetic profile,6,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,NSAID,Repeated one off treatment,1/11/12,No,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
56,Crossbreed,?9,Female,,Case,2/29/12,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,Crossbreed,?9,Male,,Case,6/25/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,Not recorded,Kitten/ Irregular,None recorded,,,Yes,9/14/11,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,Crossbreed,?9,Male,,Case,6/20/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Purebreed,?9,Female,,Case,5/24/12,Other,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,Crossbreed,?9,Male,,Case,4/4/12,Other,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,No,No,None recorded,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Crossbreed,?9,Female,,Case,5/29/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,NSAID,One-off treatment,4/3/11,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,Purebreed,?9,Female,Neutered,Case,12/21/12,Geriatric Health clinic,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,Crossbreed,<9,Female,,Case,8/8/12,Geriatric Health clinic,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,Crossbreed,?9,Male,Neutered,Case,2/20/13,Pre-anaesthetic profile,,,FALSE,,,FALSE,,FALSE,,Not recorded,Regular,NSAID,One-off treatment,7/30/10,Yes,7/30/10,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,Crossbreed,?9,Male,,Case,6/16/12,Clinical signs,,,TRUE,11/21/12,3,FALSE,,FALSE,,FALSE,None recorded,NSAID,One-off treatment,6/14/12,None recorded,,Negative,Negative,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,Crossbreed,?9,Female,Neutered,Case,10/4/13,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,Crossbreed,?9,Female,,Case,7/25/12,Other,,,Not recorded,,,Not recorded,,Not recorded,,Not recorded,Regular,None recorded,,,Yes,7/20/12,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Crossbreed,?9,Female,,Case,4/25/12,Clinical signs,,,FALSE,,,FALSE,,FALSE,,FALSE,None recorded,NSAID,One-off treatment,4/23/12,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Crossbreed,?9,Male,,Case,4/20/13,Clinical signs,,,TRUE,10/5/11,2,Not recorded,,Not recorded,,FALSE,Regular,NSAID,Repeated one off treatment,9/7/12,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,Crossbreed,?9,Male,,Case,3/13/12,Clinical signs,,,TRUE,7/28/11,1,FALSE,,FALSE,,FALSE,Regular,None recorded,,,None recorded,,Not tested,Not tested,None recorded,None recorded,None recorded,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
